Refludan|Lepirudin
Cough Syrup DM - Decongestant for Children|Dextromethorphan
Cough Syrup DM 15mg/5ml|Dextromethorphan
Cough Syrup DM Decongestant Expectorant|Dextromethorphan
Cough Syrup DM Expectorant|Dextromethorphan
Cough Syrup DM Expectorant Extra Strength|Dextromethorphan
Cough Syrup DM-d-e|Dextromethorphan
Cough Syrup DM-e|Dextromethorphan
Cough Syrup DM-expectorant|Dextromethorphan
Counteract Cough|Dextromethorphan
Counteract Cough Medicine - Liq|Dextromethorphan
Creomulsion Cough Medicine Adult Formula|Dextromethorphan
Creomulsion For Children|Dextromethorphan
Cvs Chest Congestion Relief DM|Dextromethorphan
Cvs Pharmacy Cough Relief Honey Lemon Flavor|Dextromethorphan
Cvs Sore Throat Mixed Berry Flavor|Dextromethorphan
Day Relief|Dextromethorphan
Day Time Cough|Dextromethorphan
Day Time cough|Dextromethorphan
Daytime Cough non drowsy|Dextromethorphan
Defensol Adult Syrup|Dextromethorphan
Defensolito Children Syrup|Dextromethorphan
Delsym|Dextromethorphan
Delsym (dextromethorphan)|Dextromethorphan
Delsym Cough Plus Chest Congestion DM|Dextromethorphan
Delsym Cough Plus Soothing Action|Dextromethorphan
Delsym Cough Relief Plus Soothing Action|Dextromethorphan
Delsym DM Suspension 30mg/5ml|Dextromethorphan
Demdec Syr|Dextromethorphan
Desgen Dm Tabs|Dextromethorphan
Despec-dm Tabs|Dextromethorphan
Dextromethorphan Hbr 15 Mg|Dextromethorphan
Dextromethorphan Hbr and Guaifenesin|Dextromethorphan
Dextromethorphan Hydrobromide|Dextromethorphan
Dextromethorphan Hydrobromide and Promethazine Hydrochloride|Dextromethorphan
Dextromethorphan Polistirex|Dextromethorphan
Dextromethorphan Polistirex Extended Release|Dextromethorphan
Dg Health Childrens Mucus Relief Cough|Dextromethorphan
Dg Health Cough Dm|Dextromethorphan
Dg Health Tussin Dm adult|Dextromethorphan
Diabetic Maximum Strength Siltussin Dm Das-na|Dextromethorphan
Diabetic Siltussin Dm Das-na|Dextromethorphan
Diabetic Tussin Dm|Dextromethorphan
Diabetic Tussin Dm Maximum Strength|Dextromethorphan
Dimetane DX|Dextromethorphan
Dimetapp Children's Cough and Cold Liquid|Dextromethorphan
Dimetapp Cough & Congestion Liquid|Dextromethorphan
DM + Expectorant Extra Strength Syrup|Dextromethorphan
DM + Expectorant Syrup|Dextromethorphan
DM 7.5mg Croquable (chewable Tablet)|Dextromethorphan
DM Children's Cough Syrup|Dextromethorphan
DM Cough Syr|Dextromethorphan
DM Cough Syrup|Dextromethorphan
DM Cough Syrup 15mg/5ml|Dextromethorphan
DM Cough Syrup Antitussive and Expectorant|Dextromethorphan
DM Expectorant (extra Strength) Syrup|Dextromethorphan
DM Expectorant Cough Syrup|Dextromethorphan
Dm Max Maxium Strength|Dextromethorphan
Dm Max Relief Maximum Strength|Dextromethorphan
DM Plus Cough Syrup|Dextromethorphan
DM Plus Decongestant Cough Syrup|Dextromethorphan
DM Plus Decongestant Plus Expector.ex.st.syr|Dextromethorphan
DM Plus Decongestant Plus Expectorant Cough Syrup|Dextromethorphan
DM Plus Expectorant Syrup|Dextromethorphan
DM Sans Sucre Liq 15mg/5ml|Dextromethorphan
DM Syrup|Dextromethorphan
DM Syrup (sucrose Free)|Dextromethorphan
DM-d-expectorant Cough and Cold Syrup|Dextromethorphan
DM-decongestant Children's Syrup|Dextromethorphan
DM-decongestant Syrup|Dextromethorphan
DM-decongestant-expectorant (extra Strength) Syrup|Dextromethorphan
DM-decongestant-expectorant Syrup|Dextromethorphan
DM-expectorant Syrup|Dextromethorphan
Double Tussin Intense Cough Reliever DM|Dextromethorphan
Dr. Cocoa for Children Long-acting Cough|Dextromethorphan
Dr. Cocoa Non-Drowsy Cough|Dextromethorphan
Dristan DM|Dextromethorphan
Drixoral Cough Liquid Caps - 30mg|Dextromethorphan
Dry Cough|Dextromethorphan
Dry Cough & Cold Syrup|Dextromethorphan
Dry Cough & Cold Syrup for Children|Dextromethorphan
Dry Cough Relief|Dextromethorphan
Dry Cough Syrup|Dextromethorphan
Duract Max Strength Cough|Dextromethorphan
Entre-cough|Dextromethorphan
Entre-s|Dextromethorphan
Equaline Adult Tussin cough and chest congestion|Dextromethorphan
Equaline Cough Dm|Dextromethorphan
Equaline Tussin adult|Dextromethorphan
Equaline Tussin Cough|Dextromethorphan
Equaline Tussin Cough and Chest Congestion dm max|Dextromethorphan
Equate Cough Dm|Dextromethorphan
Equate Tussin Dm adult|Dextromethorphan
Equate Tussin Dm Max|Dextromethorphan
Exefen Dmx|Dextromethorphan
Expectorant Cough childrens|Dextromethorphan
Expectorant DM Cough Extra Strength|Dextromethorphan
Expectorant DM Cough Extra Strength With Decongestant|Dextromethorphan
Expectorant DM Cough Syrup|Dextromethorphan
Expectorant Plus Cough Relief|Dextromethorphan
Expectorant Tab Dm|Dextromethorphan
Extra Action Cough|Dextromethorphan
Extra Strength Mucous Relief Cough|Dextromethorphan
Family Care Cough and Cold|Dextromethorphan
Formucare Cough Syrup Dm|Dextromethorphan
Formule 115 DM|Dextromethorphan
Freds Chest Congestion Relief DM|Dextromethorphan
G Tron|Dextromethorphan
G-tuss-nl|Dextromethorphan
G-tuss-nl Ped|Dextromethorphan
G-xpect Pse|Dextromethorphan
G-zyncof|Dextromethorphan
Gadavyt Cough DM|Dextromethorphan
Good Neighbor Pharmacy Cough Dm Er|Dextromethorphan
Good Neighbor Pharmacy Cough DM ER|Dextromethorphan
Good Neighbor Pharmacy Cough Dm Er Childrens|Dextromethorphan
Good Neighbor Pharmacy Mucus Relief Dm|Dextromethorphan
Good Neighbor Pharmacy Tab Tussin Dm DMTDM|Dextromethorphan
Good Neighbor Pharmacy Tussin|Dextromethorphan
Good Neighbor Pharmacy Tussin Dm|Dextromethorphan
Good Neighbor Pharmacy Tussin Dm Max|Dextromethorphan
Good Neighbor Pharmacy Tussin Dm Max adult|Dextromethorphan
Good Sense Adult Tussin Dm|Dextromethorphan
Good Sense Childrens Mucus Relief Cough|Dextromethorphan
Good Sense Cough Dm|Dextromethorphan
Good Sense Day Time|Dextromethorphan
Good Sense Tussin Dm|Dextromethorphan
Good Sense Tussin Dm cough and chest congestion|Dextromethorphan
Good Sense Tussin dm max|Dextromethorphan
Green Tussin DM|Dextromethorphan
Green Tussin Sugar Free DM|Dextromethorphan
Guaiasorb Dm|Dextromethorphan
Guaifenesin and Dextromethorphan|Dextromethorphan
Guaifenesin and Dextromethorphan Hydrobromide|Dextromethorphan
Guaifenesin Dm|Dextromethorphan
Guaifenesin DM|Dextromethorphan
Guaitussin DM Cough Formula Syr|Dextromethorphan
Guaitussin DM Syrup|Dextromethorphan
Harmon Face Values Tussin Dm Adult|Dextromethorphan
Harris Teeter Tussin|Dextromethorphan
Health Mart Adult Tussin DM|Dextromethorphan
Health Mart Cough Dm|Dextromethorphan
Healthmart Chest Congestion Relief Dmdm DM|Dextromethorphan
Healthy Accents Cough Relief|Dextromethorphan
Healthy Accents Tussin Cough Adult|Dextromethorphan
Healthy Accents Tussin Dm|Dextromethorphan
Healthy Accents Tussin Dm adult sugar free|Dextromethorphan
High Blood Pressure Chest Congestion and Cough|Dextromethorphan
Immediate-release Mucus Relief Dm|Dextromethorphan
Iophen Dm Nr|Dextromethorphan
Jack & Jill Children's Formula Cough Liquid|Dextromethorphan
Jack & Jill Cough and Cold|Dextromethorphan
Jack & Jill Thin Strips Cough|Dextromethorphan
Kidkare cough/cold|Dextromethorphan
Kmart - Fast Maximum Dm Max|Dextromethorphan
Koffex DM|Dextromethorphan
Koffex DM  (sucrose Free)|Dextromethorphan
Koffex DM + Decongestant  Syrup|Dextromethorphan
Koffex DM + Decongestant + Expectorant|Dextromethorphan
Koffex DM + Decongestant + Expectorant Extra Strength|Dextromethorphan
Koffex DM + Expectorant|Dextromethorphan
Koffex DM + Expectorant Extra Strength|Dextromethorphan
Koffex DM Children|Dextromethorphan
Koffex DM Pour Enfants Syr 7.5mg/ml|Dextromethorphan
Koffex DM-d-e - Liq|Dextromethorphan
Leader Adult Tussin Dm|Dextromethorphan
Leader Chest Congestion Relief Plus Dmdm DM|Dextromethorphan
Leader Childrens Mucus Relief Cough|Dextromethorphan
Leader Cough Dm|Dextromethorphan
Leader Intense Cough Reliever|Dextromethorphan
Leader Tabtussin Dm TDM|Dextromethorphan
Leader Tussin|Dextromethorphan
Leader Tussin Dm|Dextromethorphan
Leader Tussin Dm Max adult|Dextromethorphan
Libera Tos|Dextromethorphan
Long Acting Tussin Cough Gels|Dextromethorphan
M-end DM|Dextromethorphan
Maximum Strength Tussnex Fm Dm Max|Dextromethorphan
Maximum Strength-cough and Chest Congestion Dm|Dextromethorphan
Maxium Strength Dm Max|Dextromethorphan
Medique Guaicon Dms|Dextromethorphan
Methorphan|Dextromethorphan
Metrate|Dextromethorphan
Mielim Y Mas|Dextromethorphan
Mucinex Dm|Dextromethorphan
Mucinex Dm Maximum Strength|Dextromethorphan
Mucinex Fast-max DM Max|Dextromethorphan
Mucinex Multi-action Wet & Dry Cough Liquid|Dextromethorphan
Mucosa Dm|Dextromethorphan
Mucus & Phlegm Relief With Cough Control Extra Strength|Dextromethorphan
Mucus and Cough Relief|Dextromethorphan
Mucus Dm|Dextromethorphan
Mucus Relief Cough|Dextromethorphan
Mucus Relief Cough and Congestion Dm|Dextromethorphan
Mucus Relief Dm|Dextromethorphan
Mucus Relief DM|Dextromethorphan
Mucus Relief Dm Expectorant and Cough Suppressant|Dextromethorphan
Mucus Relief Dm Immediate Release|Dextromethorphan
Mucus Relief DM Max Maximum Strength|Dextromethorphan
Mucus Relief Dm Max Maximum Strength Fast Acting|Dextromethorphan
Mucus Relief Maximum Strength DM Max|Dextromethorphan
Neo DM|Dextromethorphan
Neocitran Cough & Cold Syrup|Dextromethorphan
Neocitran Thin Strips Cough|Dextromethorphan
Nite Time (children's)|Dextromethorphan
Non-drowsy Formula Wal-tussin|Dextromethorphan
Novahistex DM - Liq 15mg/5ml|Dextromethorphan
Novahistex DM Expectorant With Decongestant|Dextromethorphan
Novahistex DM With Decongestant|Dextromethorphan
Novahistine DM - Liq 7.5mg/5ml|Dextromethorphan
Novahistine DM Expectorant With Decongestant|Dextromethorphan
Novahistine DM With Decongestant - Liq|Dextromethorphan
Nuedexta|Dextromethorphan
Panto Flu|Dextromethorphan
Pecgen Dmx|Dextromethorphan
Pecgen Pse Cough Suppressant Expectorant Nasal Decongestant Grape Flavor|Dextromethorphan
Pedia Relief|Dextromethorphan
Pediacare Childrens Cough and Congestion|Dextromethorphan
Pediacare Longacting Cough|Dextromethorphan
Pediatric Cough and Cold Medicine|Dextromethorphan
Pediatric Cough Syrup|Dextromethorphan
Personnelle DM Syr|Dextromethorphan
Pharmilin-dm Syr 15mg/5ml|Dextromethorphan
Pharminil DM Sugar-free Liq 15mg/5ml|Dextromethorphan
Pharminil DM Syr 15mg/5ml|Dextromethorphan
Pharmitussin DM|Dextromethorphan
PMS-dextromethorphan Hydrobromide Syr 3mg/ml|Dextromethorphan
Poly-vent Dm|Dextromethorphan
Preferred Plus Chest Congestion Relief Dmtdm TDM|Dextromethorphan
Preferred Plus Cough Dm|Dextromethorphan
Preferred Plus Intense Cough Reliever|Dextromethorphan
Preferred Plus Tabtussin Dm DMTDM|Dextromethorphan
Premier Value Chest Congestion and Cough Releif DM|Dextromethorphan
Promatussin DM Adult Formula Syr|Dextromethorphan
Promatussin DM Children Formula|Dextromethorphan
Prometh With Dextromethorphan|Dextromethorphan
Promethazine Dm|Dextromethorphan
Promethazine Hydrochloride and Dextomethorphan Hydrobromide|Dextromethorphan
Promethazine Hydrochloride and Dextromethorphan Hydrobromide|Dextromethorphan
Pulmovac|Dextromethorphan
Q Tapp Cold and Cough|Dextromethorphan
Q Tussin Dm|Dextromethorphan
Q-tapp Dm Elixir|Dextromethorphan
Quality Choice Mucus Relief Dm DM|Dextromethorphan
Rescon Dm|Dextromethorphan
Rexall Dm Cough and Congestion Relief|Dextromethorphan
Ritussin Dm|Dextromethorphan
Robafen|Dextromethorphan
Robafen Cough Liquidgels|Dextromethorphan
Robafen Cough Non-Drowsy Formula|Dextromethorphan
Robafen Dm Cough Sugar Free Clear|Dextromethorphan
Robafen Dm Max Non drowsy|Dextromethorphan
Robitussin 12 Hour Cough Relief|Dextromethorphan
Robitussin Children's|Dextromethorphan
Robitussin Children's Cough and Cold|Dextromethorphan
Robitussin Cough & Cold Extra Strength|Dextromethorphan
Robitussin Cough and Cold|Dextromethorphan
Robitussin Cough and Cold Liqui-gels|Dextromethorphan
Robitussin Cough Control|Dextromethorphan
Robitussin Cough Control Extra Strength|Dextromethorphan
Robitussin Cough Control for People With Diabetes|Dextromethorphan
Robitussin DM Coughgels Liqui-gels Toux|Dextromethorphan
Robitussin Honey Cough and Cold|Dextromethorphan
Robitussin Honey Cough DM|Dextromethorphan
Robitussin Lingering Cold Long-acting Cough|Dextromethorphan
Robitussin Lingering Cold Long-acting Coughgels|Dextromethorphan
Robitussin Maximum Strength Cough Plus Chest Congestion Dm|Dextromethorphan
Robitussin Peak Cold Cough Plus Chest Congestion Dm|Dextromethorphan
Robitussin Peak Cold Maximum Strength Cough Plus Chest Congestion Dm|Dextromethorphan
Robitussin Peak Cold Sugar-free Cough Plus Chest Congestion Dm|Dextromethorphan
Robitussin To Go Cough and Chest Congestion Dm|Dextromethorphan
Rompe Pecho DM|Dextromethorphan
Rx Act Tussin Cough|Dextromethorphan
Safetussin DM|Dextromethorphan
Sanatos Childrens Mucus Relief Cough|Dextromethorphan
Scot-tussin Diabetes Cough Formula With Dm|Dextromethorphan
Scot-tussin DM SF Maximum Strength Cough Cold|Dextromethorphan
Scot-tussin Senior Sf Dmexp|Dextromethorphan
Sedatuss DM Sirop 15mg/5ml|Dextromethorphan
Select Brand Mucus Relief DM|Dextromethorphan
Select Brand Tab Tussin DM|Dextromethorphan
Shopko Chest Congestion Relief Dmtdm TDM|Dextromethorphan
Shoprite Cough Dm|Dextromethorphan
Signature Care 12 Hour Cough Relief|Dextromethorphan
Signature Care Cough Dm|Dextromethorphan
Signature Care Daytime Cough|Dextromethorphan
Signature Care Tussin|Dextromethorphan
Silphen Dm Cough|Dextromethorphan
Siltussin Dm|Dextromethorphan
Siltussin Dm Das Cough Formula|Dextromethorphan
Sirop DM|Dextromethorphan
Sirop DM Expectorant|Dextromethorphan
Smart Sense Adult Tussin Dm sugar free|Dextromethorphan
Smart Sense Cough and Chest Congestion|Dextromethorphan
Smart Sense Cough Dm|Dextromethorphan
Smart Sense Mucus Relief Cough Childrens|Dextromethorphan
Smart Sense Tussin Dm|Dextromethorphan
Smart Sense Tussin Dm Max adult|Dextromethorphan
Sorbugen|Dextromethorphan
Sore Throat and Cough|Dextromethorphan
Stona Troche|Dextromethorphan
Sucrets Cough Cherry|Dextromethorphan
Sucrets Cough Control|Dextromethorphan
Sucrets Cough Control Lozenges|Dextromethorphan
Sucrets Cough Honey Lemon|Dextromethorphan
Sucrets DM Cough Suppressant-honey Lemon|Dextromethorphan
Sudafed DM|Dextromethorphan
Sun Mark Mucus Relief Cough Childrens|Dextromethorphan
Sun Mark Tussin Dm cough and chest congestion|Dextromethorphan
Sunmark Adult Tussin DM|Dextromethorphan
Sunmark Chest Congestion Relief Dm DM|Dextromethorphan
Sunmark Cough Dm|Dextromethorphan
Sunmark Tussin Dm sugar free|Dextromethorphan
Supress Dm|Dextromethorphan
Syrup DM - 15mg/5ml|Dextromethorphan
Syrup DM-d|Dextromethorphan
Syrup DM-d-e|Dextromethorphan
Syrup DM-e|Dextromethorphan
Topcare Cough Dm|Dextromethorphan
Topcare Cough Relief Honey Lemon Flavor|Dextromethorphan
Topcare Cough Relief Sugar Free Cherry Flavor|Dextromethorphan
Topcare Day Time Cough|Dextromethorphan
Topcare Mucus Relief|Dextromethorphan
Topcare Tussin Cough Long Acting|Dextromethorphan
Topcare Tussin Dm|Dextromethorphan
Topcare Tussin Dm Max|Dextromethorphan
Topcare Tussin Dm sugar free cough and chest congestion|Dextromethorphan
Trialyn Syrup|Dextromethorphan
Triaminic Cold & Nighttime Cough|Dextromethorphan
Triaminic Cold and Cough|Dextromethorphan
Triaminic Cough|Dextromethorphan
Triaminic Cough and Congestion|Dextromethorphan
Triaminic DM|Dextromethorphan
Triaminic DM  -  Syrup - 15 Mg/5 Ml|Dextromethorphan
Triaminic DM Expectorant Syr|Dextromethorphan
Triaminic DM Plus Decongestant Syrup|Dextromethorphan
Triaminic DM+decongestant Liqui-gels Capsules|Dextromethorphan
Triaminic Long Acting Cough|Dextromethorphan
Triaminic Softchews Cough|Dextromethorphan
Triaminic Softchews Cough and Cold|Dextromethorphan
Triaminic Thin Strips Cough|Dextromethorphan
Triaminicol DM Syrup|Dextromethorphan
Trispec Dmx Cough Suppressant Expectorant Cherry Raspberry Flavor|Dextromethorphan
Trispec Dmx Pediatric Drops Cough Suppressant Expectorant Cherry Raspberry Flavor|Dextromethorphan
Trispec Pse Cough Suppressant Expectorant Nasal Decongestant Grape Flavor|Dextromethorphan
Trispec Pse Pediatric Drops Cough Suppressant Expectorant Nasal Decongestant Grape Flavor|Dextromethorphan
Tukol Maxium Strength Cough and Mucus Relief|Dextromethorphan
Tusnel|Dextromethorphan
Tusnel Diabetic|Dextromethorphan
Tusnel Dm Pediatric|Dextromethorphan
Tusnel Pediatric|Dextromethorphan
Tussilyn DM|Dextromethorphan
Tussin adult|Dextromethorphan
Tussin Cough|Dextromethorphan
Tussin Cough adult maximum strength|Dextromethorphan
Tussin Cough and Chest Congestion Dm|Dextromethorphan
Tussin Cough and Chest Congestion Dm Adult|Dextromethorphan
Tussin Cough and Chest Congestion Dm Sugar Free|Dextromethorphan
Tussin Cough Dm adult|Dextromethorphan
Tussin Cough Dm Adult Sugar Free|Dextromethorphan
Tussin Cough EXPECTORANT COUGH SUPRESSANT DM|Dextromethorphan
Tussin Cough Gels|Dextromethorphan
Tussin Cough Liquidgels Non-Drowsy|Dextromethorphan
Tussin Cough Long Acting|Dextromethorphan
Tussin Cough Medicine DM Antitussive|Dextromethorphan
Tussin Cough Medicine DM Antitussive Expectorant Decongestant|Dextromethorphan
Tussin Dm|Dextromethorphan
Tussin Dm Adult|Dextromethorphan
Tussin Dm adult|Dextromethorphan
Tussin Dm adult cough and chest congestion|Dextromethorphan
Tussin Dm Adult cough and chest congestion|Dextromethorphan
Tussin Dm adults|Dextromethorphan
Tussin Dm Cough and Chest Congestion|Dextromethorphan
Tussin Dm Cough and Chest Congestion Adult|Dextromethorphan
Tussin Dm Cough and Chest Congestion Non Drowsy|Dextromethorphan
Tussin Dm Cough and Chest Congestion sugar-free ReadyInCase|Dextromethorphan
Tussin Dm Cough and Chest Non Drowsy|Dextromethorphan
Tussin Dm COUGH SUPPRESSANT/EXPECTORANT|Dextromethorphan
Tussin Dm Max adult cough and chest congestion|Dextromethorphan
Tussin Dm Max Adult Cough Plus Chest Congestion|Dextromethorphan
Tussin Dm Max non drowsy|Dextromethorphan
Tussin Dm Sugar Free|Dextromethorphan
Tussin Dm Sugar Free Non Drowsy|Dextromethorphan
Tussin Dmmaximum Strength|Dextromethorphan
Tussin Long Acting Cough|Dextromethorphan
Tussin Long Acting Cough READYINCASE|Dextromethorphan
Tussin Peak Cold Sugar-free Cough Plus Chest Congestion Dm|Dextromethorphan
Tussin Sugar Free|Dextromethorphan
Tussin Sugar Free Cough|Dextromethorphan
Tussodan DM Syrup|Dextromethorphan
Ultra Tuss Dm|Dextromethorphan
Ultra Tuss Safe|Dextromethorphan
Up and Up 12 Hour Cough Relief|Dextromethorphan
Up and Up Adult Cough Formula Dm Max|Dextromethorphan
Up and Up Adult Cough Formula Dm Non drowsy|Dextromethorphan
Up and Up Childrens Mucus Relief and Cough|Dextromethorphan
Up and Up Cough Suppressant Dm|Dextromethorphan
Up and Up Dm Max cough plus chest congestion|Dextromethorphan
Vasofrinic Plus Sirop|Dextromethorphan
Vicks Children's Nyquil Cold & Cough Multi-symptom Relief|Dextromethorphan
Vicks Childrens Nyquil Cold and Cough Multi-Symptom Relief|Dextromethorphan
Vicks Custom Care Chest Congestion/cough|Dextromethorphan
Vicks Custom Care Dry Cough|Dextromethorphan
Vicks Dayquil Cough|Dextromethorphan
Vicks Dayquil Cough Cough & Congestion|Dextromethorphan
Vicks Dayquil Mucus Control DM|Dextromethorphan
Vicks Formula 44d Liq|Dextromethorphan
Vicks Pediatric Formula 44 Liq|Dextromethorphan
Vicks Pediatric Formula 44d Liq|Dextromethorphan
Vicks Pediatric Formula 44e Liq|Dextromethorphan
Vicks Pediatric Formula 44m Liq|Dextromethorphan
Vito Bronches Sirop|Dextromethorphan
Wal Tussin|Dextromethorphan
Wal Tussin cough and chest congestion|Dextromethorphan
Wal Tussin Dm|Dextromethorphan
Wal Tussin Dm adult cough and chest congestion|Dextromethorphan
Wal Tussin Dm Max|Dextromethorphan
Wal Tussin Dm Max cough and chest congestion|Dextromethorphan
Wal-tussin|Dextromethorphan
Zicam Cough MAX|Dextromethorphan
Zyncof|Dextromethorphan
Cisplatin|Cisplatin
Cisplatin Inj 0.5mg/ml|Cisplatin
Cisplatin Inj 1mg/ml|Cisplatin
Cisplatin Injection|Cisplatin
Cisplatin Injection BP|Cisplatin
Cisplatin Injection, BP|Cisplatin
Cisplatin Injection, Mylan Std.|Cisplatin
Mylan-cisplatin Injection|Cisplatin
Platinol|Cisplatin
Platinol Aq Inj 1mg/ml|Cisplatin
Platinol-aq|Cisplatin
PMS-cisplatin|Cisplatin
Albenza|Albendazole
Mavik|Trandolapril
Tarka|Trandolapril
Trandolapril|Trandolapril
Trandolapril and Verapamil Hydrochloride|Trandolapril
Trandolapril and Verapamil Hydrochloride ER|Trandolapril
Cancidas|Caspofungin
Carteolol Hydrochloride|Carteolol
Panretin|Alitretinoin
Toctino|Alitretinoin
Metolazone|Metolazone
Zaroxolyn|Metolazone
Zaroxolyn Tab 10mg|Metolazone
Absorbine Antifungal Powder 1%|Tolnaftate
Absorbine Jr Antifungal Liq|Tolnaftate
Absorbine Jr Antifungal Liquid|Tolnaftate
Anitfungal foot care|Tolnaftate
Athlete's Foot Gel 1%|Tolnaftate
Athlete's Foot Spray Power|Tolnaftate
Athletes Foot|Tolnaftate
Athletes Foot medicated antifungal|Tolnaftate
Athletes Foot Spray Dr. Foot|Tolnaftate
Atopalm Tolnaftate Antifungal|Tolnaftate
Avon Foot Works Therapeutic Antifungal Foot Cream|Tolnaftate
Avon Footworks Antifungal and Deodorant Powder|Tolnaftate
Avon Footworks Antifungal Foot Spray|Tolnaftate
Barielle Fungus Rx Maximum Strength Anti-fungal|Tolnaftate
Barielle Professional Maximum Strength Fungus Rx Antifungal Pro|Tolnaftate
Bengama Antifungal|Tolnaftate
Bio-scriptives Extreme Af|Tolnaftate
Blistex Odor-Eaters Powder|Tolnaftate
Canesten Powder|Tolnaftate
Careall Tolnaftate|Tolnaftate
Cidacin Antifungal Treatment|Tolnaftate
Clarus Antifungal|Tolnaftate
Cvs Athletes Foot Cream .5oz|Tolnaftate
Cvs Athletes Foot Tolnaftate|Tolnaftate
Dg Athletes Foot|Tolnaftate
Dr. Gs Clear Nail|Tolnaftate
Dr. Scholl's Athlete's Foot Powder - 1%|Tolnaftate
Dr. Scholl's Athlete's Foot Spray Powder|Tolnaftate
Dr. Scholls Odor-X Foot and Sneaker|Tolnaftate
Equaline Athletes Foot|Tolnaftate
Equaline Tolnaftate Antifungal|Tolnaftate
Equate Athletes Foot|Tolnaftate
Equate Athletes Foot powder|Tolnaftate
Equate Liquid Foot|Tolnaftate
Ez Clear|Tolnaftate
Family Care Tolnaftate|Tolnaftate
First Aid Antifungal Medicated Cream 0.5 Oz|Tolnaftate
First Aid Antifungal Medicated Cream 1oz|Tolnaftate
Flexitol Medicated Anti-fungal Cream|Tolnaftate
Flexitol Medicated Foot|Tolnaftate
Foot Care Foam|Tolnaftate
Foot Works Healthy Antifungal|Tolnaftate
Footlogix Anti Fungal Mousse Formula|Tolnaftate
Footshield Plus|Tolnaftate
Footworks Healthy Antifungal Powder for Athlete's Foot|Tolnaftate
Footworks Healthy Antifungal Spray for Athlete's Foot|Tolnaftate
Formucare Athletes Foot Maximum Strength|Tolnaftate
Formula 3|Tolnaftate
Fulton Street Market Athletes Foot|Tolnaftate
Fungablend 10|Tolnaftate
Fungicure|Tolnaftate
Fungicure Anti-fungal Pump Spray|Tolnaftate
Fungicure Athlete's Foot Cream|Tolnaftate
Fungicure Athletes Foot|Tolnaftate
Fungicure Gel|Tolnaftate
Fungifoam|Tolnaftate
Fungoid-d|Tolnaftate
Fungus Md|Tolnaftate
Fungus Relief|Tolnaftate
Gadaderm Antifungal|Tolnaftate
Good Sense Athletes Foot|Tolnaftate
Good Sense Jock Itch|Tolnaftate
Healthy Accents Athletes Foot antifungal|Tolnaftate
Hi Vetic|Tolnaftate
Homehealth Antifungal|Tolnaftate
Hongo Killer|Tolnaftate
Hongo Killer Antifungal|Tolnaftate
Kaiser Permanente Tolnaftate|Tolnaftate
Kiss Fungi-gone Anti-fungal Treatment|Tolnaftate
Lamisl Af DEFENSE|Tolnaftate
Leader Antifungal Tolnaftate|Tolnaftate
Leader Medicated|Tolnaftate
Meijer antifungal|Tolnaftate
Meijer Tolnaftate|Tolnaftate
Miracle Plus Anti-fungal|Tolnaftate
Molecular Af|Tolnaftate
Nail Active Daytime Anti-fungal|Tolnaftate
Nail Md|Tolnaftate
Nail Renew|Tolnaftate
Nailene Antifungal Treatment|Tolnaftate
Odor Eaters Foot and Sneaker|Tolnaftate
Odor-eaters|Tolnaftate
Ongo - Fin|Tolnaftate
Personal Care Antifungal|Tolnaftate
Pitrex Crm 1%|Tolnaftate
Premier Value Tolnaftate Antifungal|Tolnaftate
Proclearz Anti-fungal Pen|Tolnaftate
Proclearz Antifungal Liquid|Tolnaftate
Proclearz Fungi-Cide PM|Tolnaftate
Proclearz Maximum Strength Anti-fungal Pen|Tolnaftate
Proclearz Maximum Strength Fungal Shield Brush-on Antifungal|Tolnaftate
Quality Choice Tolnaftate Antifungal|Tolnaftate
Sanafitil|Tolnaftate
Sanafitil Crema|Tolnaftate
Smart Sense Athletes Foot|Tolnaftate
Smart Sense Tolnaftate Antifungal|Tolnaftate
Smart Sense Tolnftate Antifungal|Tolnaftate
Snap Stiks Athlete's Foot Relief Swabs With Tolnaftate|Tolnaftate
Snap-stiks Senior's Foot Fungus Relief Swabs With Tolnaftate|Tolnaftate
Soundbody Tolnaftate Antifungal|Tolnaftate
Sunmark antifungal|Tolnaftate
Sunmark Athletes Foot Liquid Spray|Tolnaftate
Sunmark Athletes Foot Powder|Tolnaftate
Swabplus Athlete's Foot Relief Swabs With Tolnaftate|Tolnaftate
Swabplus Fungus Relief Swabs With Tolnaftate|Tolnaftate
Target antifungal|Tolnaftate
Tinactin|Tolnaftate
Tinactin Aerosol Powder|Tolnaftate
Tinactin Antifungal|Tolnaftate
Tinactin Chill Deodorant Powder Spray|Tolnaftate
Tinactin Chill Liquid Spray|Tolnaftate
Tinactin Jock Itch Crm 10mg/gm|Tolnaftate
Tinactin Jock Itch Top Aer Pwr 10mg/gm|Tolnaftate
Tinactin Liquid Aerosol 0.72mg/gm|Tolnaftate
Tinactin Plus Areosol Powder 1%|Tolnaftate
Tinactin Plus Powder 1%|Tolnaftate
Tinactin Powder|Tolnaftate
Tinactin Pump Spray|Tolnaftate
Tinactin Sol 10mg/ml|Tolnaftate
Tinactin Super Absorbent|Tolnaftate
Tineacide|Tolnaftate
Ting|Tolnaftate
Tolnafate|Tolnaftate
Tolnaftate|Tolnaftate
Tolnaftate Antifungal|Tolnaftate
Tolnaftate Antifungal Cream|Tolnaftate
